Data,Abertura,Alta,Baixa,Fechamento,Volume,SMA20
2005-01-03,97.25,97.9,94.19,94.2,3781800,
2005-01-04,94.99,95.6,93.0,93.08,4741740,
2005-01-05,93.3,94.18,91.8,92.72,3891044,
2005-01-06,93.22,93.5,91.9,93.0,3562220,
2005-01-07,93.19,94.3,92.51,93.41,3287780,
2005-01-10,94.0,94.45,91.76,92.2,4371772,
2005-01-11,92.5,93.98,91.8,93.2,3505560,
2005-01-12,93.31,93.98,90.87,92.7,4316344,
2005-01-13,93.29,93.8,92.4,93.61,6828472,
2005-01-14,93.6,94.3,92.7,94.1,5579620,
2005-01-17,94.0,94.75,93.49,93.5,4478376,
2005-01-18,92.57,93.06,91.81,92.5,3450812,
2005-01-19,92.75,93.25,92.21,93.05,5545300,
2005-01-20,92.5,92.5,90.65,90.95,3721256,
2005-01-21,91.3,92.1,90.31,91.1,3261032,
2005-01-24,91.01,92.93,91.0,92.29,1813824,
2005-01-26,93.3,94.49,93.3,94.2,4390140,
2005-01-27,93.88,94.9,93.05,94.0,4934652,
2005-01-28,93.8,93.9,92.3,92.8,3492244,
2005-01-31,93.55,94.3,92.9,94.3,2548972,93.0455
2005-02-01,93.8,94.17,93.3,93.8,4989100,93.0255
2005-02-02,94.0,95.5,93.8,95.2,3972756,93.1315
2005-02-03,95.3,96.2,94.55,96.2,3994852,93.3055
2005-02-04,92.9,97.9,92.36,97.3,10927664,93.5205
2005-02-09,102.0,103.5,100.01,101.61,8740416,93.9305
2005-02-10,100.2,101.3,99.55,101.15,3950924,94.37800000000001
2005-02-11,101.0,103.87,101.0,102.79,6408996,94.8575
2005-02-14,102.11,102.5,101.52,101.85,3779508,95.315
2005-02-15,100.43,101.7,100.1,101.05,5546488,95.687
2005-02-16,101.35,102.56,100.35,102.5,11416556,96.107
2005-02-17,103.06,104.43,102.7,102.7,7082732,96.567
2005-02-18,103.0,103.1,101.61,102.7,3596072,97.077
2005-02-21,102.95,104.2,102.8,104.0,5215764,97.6245
2005-02-22,104.4,106.8,103.7,104.8,5743244,98.317
2005-02-23,106.0,107.09,105.5,107.0,5972288,99.112
2005-02-24,108.49,110.78,108.49,110.6,6277608,100.0275
2005-02-25,110.29,113.6,109.8,113.05,6528796,100.97
2005-02-28,112.0,113.45,108.12,111.23,6528848,101.8315
2005-03-01,109.42,109.43,105.91,106.66,7288212,102.52450000000002
2005-03-02,106.56,110.1,105.69,109.7,6036888,103.2945
2005-03-03,111.39,113.6,111.2,113.5,7308900,104.27950000000001
2005-03-04,114.12,115.9,114.12,115.3,4266304,105.28450000000001
2005-03-07,116.7,116.9,113.7,115.75,3331216,106.26200000000001
2005-03-08,114.75,114.75,113.7,114.4,3937196,107.117
2005-03-09,113.42,115.85,112.0,112.4,3632740,107.65650000000001
2005-03-10,112.5,113.2,108.7,109.4,4910816,108.069
2005-03-11,110.39,111.0,107.2,107.6,4349440,108.3095
2005-03-14,107.8,108.34,105.0,106.8,5326352,108.55699999999999
2005-03-15,107.3,107.9,103.9,104.0,5967448,108.70449999999998
2005-03-16,102.75,106.4,102.0,106.2,6295636,108.8895
2005-03-17,104.4,107.69,104.4,107.29,4338832,109.119
2005-03-18,107.29,107.58,104.6,106.0,3865132,109.28399999999999
2005-03-21,106.04,106.3,104.95,105.7,6147872,109.36899999999999
2005-03-22,106.01,106.5,102.0,102.81,6325460,109.2695
2005-03-23,103.2,103.3,101.0,101.3,6216316,108.9845
2005-03-24,103.01,103.6,101.41,102.6,2807416,108.5845
2005-03-28,102.2,102.59,100.75,100.75,2527508,107.9695
2005-03-29,101.4,102.75,98.6,99.2,3977068,107.36800000000001
2005-03-30,99.7,101.7,98.82,101.4,4329448,107.10499999999999
2005-03-31,102.39,103.8,101.5,103.15,4164256,106.7775
2005-04-01,103.95,104.8,102.5,103.9,5093352,106.29750000000001
2005-04-04,104.0,105.76,103.0,103.9,3855912,105.7275
2005-04-05,104.0,105.2,101.0,101.31,3670264,105.00550000000001
2005-04-06,102.0,102.99,100.0,101.2,4477544,104.34549999999999
2005-04-07,102.69,102.69,99.6,101.44,4209356,103.79749999999999
2005-04-08,102.0,102.0,99.7,100.0,2548228,103.32750000000001
2005-04-11,99.99,101.25,99.53,100.5,2802960,102.9725
2005-04-12,100.5,100.64,98.51,100.0,4467484,102.63250000000001
2005-04-13,101.0,101.2,98.0,98.0,6805100,102.33250000000001
2005-04-14,97.99,100.2,94.8,95.37,4701748,101.791
2005-04-15,94.02,96.01,93.5,93.8,3697820,101.1165
2005-04-18,95.0,95.0,92.2,92.89,4867352,100.461
2005-04-19,94.0,95.99,93.41,95.99,4507012,99.9755
2005-04-20,96.0,96.81,94.75,94.75,2790536,99.5725
2005-04-22,95.3,96.89,93.04,93.1,1989000,99.1625
2005-04-25,93.2,96.59,93.2,95.89,2826208,98.82700000000001
2005-04-26,95.55,97.4,95.2,96.9,3663096,98.6345
2005-04-27,96.2,96.9,94.2,94.2,3712372,98.3845
2005-04-28,93.88,93.88,91.3,91.9,4095596,97.90950000000001
2005-04-29,93.6,94.5,91.8,94.5,3549892,97.477
2005-05-02,94.49,94.49,91.8,94.2,2397144,96.992
2005-05-03,94.2,94.6,92.55,93.82,2864128,96.488
2005-05-04,94.0,95.77,94.0,95.23,3430996,96.184
2005-05-05,96.0,97.0,95.4,97.0,3976808,95.974
2005-05-06,97.51,99.8,97.5,98.73,3663520,95.8385
2005-05-09,99.0,99.23,98.0,98.9,2043968,95.78349999999999
2005-05-10,99.0,99.01,96.7,96.7,3159800,95.59349999999999
2005-05-11,97.11,97.73,95.71,96.9,3568940,95.4385
2005-05-12,97.2,98.0,94.4,95.0,4970708,95.2885
2005-05-13,94.98,95.1,92.01,92.5,5213056,95.14500000000001
2005-05-16,93.3,93.8,92.3,93.76,5110308,95.143
2005-05-17,93.76,96.5,93.02,96.15,3150972,95.306
